,Title,Price,Url
0,A Light in the Attic,£51.77,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
1,Tipping the Velvet,£53.74,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
2,Soumission,£50.10,http://books.toscrape.com/catalogue/soumission_998/index.html
3,Sharp Objects,£47.82,http://books.toscrape.com/catalogue/sharp-objects_997/index.html
4,Sapiens: A Brief History of Humankind,£54.23,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
5,The Requiem Red,£22.65,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html
6,The Dirty Little Secrets of Getting Your Dream Job,£33.34,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
9,The Black Maria,£52.15,http://books.toscrape.com/catalogue/the-black-maria_991/index.html
10,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
11,Shakespeare's Sonnets,£20.66,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
12,Set Me Free,£17.46,http://books.toscrape.com/catalogue/set-me-free_988/index.html
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
14,Rip it Up and Start Again,£35.02,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
16,Olio,£23.88,http://books.toscrape.com/catalogue/olio_984/index.html
17,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
18,Libertarianism for Beginners,£51.33,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
19,It's Only the Himalayas,£45.17,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
20,In Her Wake,£12.84,http://books.toscrape.com/catalogue/in-her-wake_980/index.html
21,How Music Works,£37.32,http://books.toscrape.com/catalogue/how-music-works_979/index.html
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
23,Chase Me (Paris Nights #2),£25.27,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
24,Black Dust,£34.53,http://books.toscrape.com/catalogue/black-dust_976/index.html
25,Birdsong: A Story in Pictures,£54.64,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
27,Aladdin and His Wonderful Lamp,£53.13,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,£40.30,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
29,Wall and Piece,£44.18,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html
30,The Four Agreements: A Practical Guide to Personal Freedom,£17.66,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
32,The Elephant Tree,£23.82,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
33,The Bear and the Piano,£36.89,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
34,Sophie's World,£15.94,http://books.toscrape.com/catalogue/sophies-world_966/index.html
35,Penny Maybe,£33.29,http://books.toscrape.com/catalogue/penny-maybe_965/index.html
36,Maude (1883-1993):She Grew Up with the country,£18.02,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
37,"In a Dark, Dark Wood",£19.63,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
38,Behind Closed Doors,£52.22,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
39,You can't bury them all: Poems,£33.63,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
40,Slow States of Collapse: Poems,£57.31,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
41,Reasons to Stay Alive,£26.41,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
42,Private Paris (Private #10),£47.61,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
44,Without Borders (Wanderlove #1),£45.07,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
45,When We Collided,£31.77,http://books.toscrape.com/catalogue/when-we-collided_955/index.html
46,"We Love You, Charlie Freeman",£50.27,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
47,Untitled Collection: Sabbath Poems 2014,£14.27,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
49,Unicorn Tracks,£18.78,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
53,This One Summer,£19.49,http://books.toscrape.com/catalogue/this-one-summer_947/index.html
54,Thirst,£17.27,http://books.toscrape.com/catalogue/thirst_946/index.html
55,The Torch Is Passed: A Harding Family Story,£19.09,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
56,The Secret of Dreadwillow Carse,£56.13,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
58,The Past Never Ends,£56.50,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
59,The Natural History of Us (The Fine Art of Pretending #2),£45.22,http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
60,The Nameless City (The Nameless City #1),£38.16,http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
61,The Murder That Never Was (Forensic Instincts #5),£54.11,http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,http://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,http://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,http://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
68,The Death of Humanity: and the Case for Life,£58.11,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
70,The Art Forger,£40.76,http://books.toscrape.com/catalogue/the-art-forger_930/index.html
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,http://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,http://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,http://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
74,Soul Reader,£39.58,http://books.toscrape.com/catalogue/soul-reader_926/index.html
75,Security,£39.25,http://books.toscrape.com/catalogue/security_925/index.html
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,http://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
78,Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,http://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
81,Princess Between Worlds (Wide-Awake Princess #5),£13.34,http://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
82,"Pop Gun War, Volume 1: Gift",£18.97,http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,http://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
84,Patience,£10.16,http://books.toscrape.com/catalogue/patience_916/index.html
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,http://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
87,Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,http://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
88,On a Midnight Clear,£14.07,http://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
89,Obsidian (Lux #1),£14.86,http://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
90,My Paris Kitchen: Recipes and Stories,£33.37,http://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
91,Masks and Shadows,£56.40,http://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,http://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,http://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,http://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,http://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
96,"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,http://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,http://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
98,Join,£35.67,http://books.toscrape.com/catalogue/join_902/index.html
99,In the Country We Love: My Family Divided,£22.00,http://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,http://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,http://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
102,I am a Hero Omnibus Volume 1,£54.63,http://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
103,How to Be Miserable: 40 Strategies You Already Use,£46.03,http://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html
104,Her Backup Boyfriend (The Sorensen Family #1),£33.97,http://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
105,"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,http://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
107,First and First (Five Boroughs #3),£15.97,http://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
108,Fifty Shades Darker (Fifty Shades #2),£21.96,http://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,http://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,http://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
111,Danganronpa Volume 1,£51.99,http://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
112,Crown of Midnight (Throne of Glass #2),£43.29,http://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html
113,"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,http://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
